CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timeliness,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
11,J980369,89490f4b-765f-431a-b302-580aae7db71a,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555,Urban,America/New_York,"Teacher, special educational needs",7.0,-0.8611111111111112,Highschool,Full Time,33186.785,Separated,Female,No,0.368173420726556,9,-0.5,2.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,-0.30142211869579527,0.12018236524149702,-0.2062295848560531,4,4,4,7,3,3,3,4
12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,783,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,0.05555555555555555,Bachelor's Degree,Full Time,18342.12,Married,Female,No,-1.1549177146821341,17,0.0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,0.4310773155372021,-0.34368621666265514,-0.5619338013312036,4,4,3,4,4,4,3,4
13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,0.8055555555555556,Graduate Degree,Retired,83671.08,Divorced,Male,No,-0.6624743623536861,9,-0.5,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.4180835524338519,-0.5339834602342842,-0.558303825447257,1,2,1,4,3,2,3,3
14,X44200,780992d3-d758-4152-aceb-5d59edda3d15,East Livermore,ME,Androscoggin,4228,44.43256,-70.11501,0,Urban,America/New_York,Learning disability nurse,5.0,-0.5,No Diploma,Retired,115114.57,Separated,Female,No,-0.819833411338849,14,0.0,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.3459557866751248,0.25107331203274896,-0.3854565173121884,5,6,5,2,4,5,4,4
15,H68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,Hillside,IL,Cook,60162,41.86752,-87.90222,8165,Urban,America/Chicago,Automotive engineer,1.0,-0.6666666666666666,Associate's/Some College,Full Time,64256.81,Separated,Male,Yes,0.5476293221884083,10,1.0,0.0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),-0.4731210815506213,-0.145278051374526,-0.5622896454507808,3,3,4,2,3,4,4,2
16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093,Suburban,America/Chicago,Amenity horticulturist,1.0,-0.4166666666666667,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,-0.16256064273976786,13,0.0,0.0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,-0.4020733323714629,0.10236775202405458,-0.41042646128835675,3,3,3,2,4,3,5,2
17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079,Urban,America/Los_Angeles,Applications developer,1.0,0.25,Associate's/Some College,Retired,31659.3,Married,Female,Yes,0.9533048540274643,13,0.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.36641463399018787,0.413948485139235,-0.3574992328328307,3,4,4,3,5,4,4,3
18,F721878,5c3548de-4744-4167-9412-3f018262bab2,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249,Rural,America/New_York,Immunologist,1.0,0.16666666666666666,No Diploma,Retired,44142.81,Separated,Male,Yes,0.003385031964546734,16,1.0,0.0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,0.24904409117885426,0.5287214216606094,-0.6305138655720269,2,2,4,3,3,4,3,3
19,F487435,200fad69-1e40-4de6-9222-df84d8925000,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463,Rural,America/Chicago,"Engineer, electrical",3.0,0.19444444444444445,Highschool,Full Time,39262.14,Widowed,Female,No,0.202597602967868,11,0.0,0.0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),-0.3416528785736574,-0.25353564588602806,-0.41201586326432404,3,4,3,4,3,2,3,5
20,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,Trafford,AL,Blount,35172,33.84469,-86.6974,3177,Rural,America/Chicago,Broadcast presenter,3.0,-0.8611111111111112,Associate's/Some College,Part Time,19494.75,Divorced,Male,Yes,0.19976983088671374,10,0.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.42191274396575895,-0.31583175785957396,-0.38421897708627784,5,5,5,4,4,4,3,3
21,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,Kaneville,IL,Kane,60144,41.83594,-88.5206,69,Rural,America/Chicago,Counsellor,4.0,-0.6388888888888888,No Diploma,Retired,39624.21,Never Married,Male,No,0.44747928485565125,14,-0.5,3.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.279292781310434,0.24209447520288357,-0.29777571686217336,2,3,3,2,4,2,3,3
22,I282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,Columbus,OH,Franklin,43215,39.96636,-83.01286,14440,Suburban,America/New_York,Geophysical data processor,3.0,-0.6666666666666666,Highschool,Retired,33186.785,Divorced,Male,No,-0.830550816648464,18,0.0,0.0,No,Two Year,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),-0.6156749483521156,-0.6838799360709054,-0.696682169036402,5,5,4,4,3,4,3,5
23,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,Mallard,IA,Palo Alto,50562,42.96153,-94.64179,381,Urban,America/Chicago,"Designer, multimedia",1.0,-0.05555555555555555,No Diploma,Full Time,27442.03,Widowed,Male,No,-0.05231380583244228,16,0.0,1.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-0.5366736938662687,-0.7073141576362828,-0.6693508219471832,3,3,3,2,2,3,5,5
24,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,Baileyville,ME,Washington,4694,45.10333,-67.47223,2193,Urban,America/New_York,Event organiser,2.0,0.3888888888888889,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,-0.6118937719256073,9,-0.5,0.0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,-0.5014013605290871,-0.3123429093576995,-0.6159744833945309,4,4,3,5,3,4,4,3
25,U644626,30a2f575-54cc-4894-96b8-358317896f43,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434,Rural,America/New_York,Equality and diversity officer,3.0,0.5833333333333334,Highschool,Full Time,28520.32,Widowed,Female,Yes,0.9801680064596441,15,0.0,0.0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),-0.5531200695041373,-0.10530023114923015,-0.6331180667218842,3,3,4,2,4,4,3,4
26,A766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568,Suburban,America/New_York,Counsellor,1.0,0.6388888888888888,Graduate Degree,Full Time,12558.83,Separated,Male,Yes,0.2654070867116452,12,0.0,0.0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-0.583195275290359,-1.2095807033438792,-0.6552827396123192,4,4,4,4,2,4,5,5
27,V54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089,Rural,America/Denver,Psychiatrist,1.0,-0.19444444444444445,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,1.3465190074330773,15,-0.5,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,-0.4666786960978163,0.8459167668205444,-0.48706586573134314,5,3,5,3,3,5,4,4
28,Z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,Erie,MI,Monroe,48133,41.7812,-83.48594,5652,Urban,America/Detroit,"Surveyor, commercial/residential",1.0,0.4444444444444444,Graduate Degree,Part Time,43882.72,Widowed,Female,Yes,1.2730547595614659,12,-0.5,0.0,No,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,-0.634763117313485,-0.45965483726810297,-0.7369020924534269,2,2,3,4,4,2,2,2
29,J887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,Moretown,VT,Washington,5660,44.24718,-72.74137,1716,Urban,America/New_York,Civil Service administrator,3.0,0.3888888888888889,Highschool,Full Time,33186.785,Separated,Female,Yes,7.607041133782613,13,0.5,0.0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-0.5923789127758806,0.9681372330496028,-0.5438228530026473,3,4,3,3,2,4,4,2
30,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,0.4166666666666667,Bachelor's Degree,Student,33186.785,Never Married,Male,Yes,0.48530105533578727,18,0.0,0.0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-0.5595449901942169,1.4268491149725682,-0.4322277140452067,4,4,4,3,2,5,5,4
31,L357432,79b827eb-46b9-4737-8484-0b670171bc4b,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268,Urban,America/New_York,Air traffic controller,9.0,-0.25,No Diploma,Part Time,43383.54,Married,Male,No,-0.6158083966839176,14,-0.5,0.0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.45404953652326724,0.9735772998088887,-0.42066182368261634,3,2,1,5,3,3,3,2
32,V899967,5cffec4f-2316-4f97-b0d6-106888164492,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765,Rural,America/New_York,Dietitian,1.0,-0.3888888888888889,No Diploma,Unemployed,21793.88,Never Married,Female,No,-1.2240906274615997,13,0.5,0.0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,No,Electronic Check,-0.5227157682132212,-0.3524381243682825,-0.7200319277314752,2,3,4,3,3,2,4,3
33,G571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680,Rural,America/Los_Angeles,"Therapist, occupational",6.0,0.7777777777777778,Graduate Degree,Retired,51960.51,Divorced,Female,Yes,-0.29086340160651536,9,-0.5,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,-0.5725706073495358,0.962079213051534,-0.600210229374285,4,4,4,5,2,5,3,5
34,S381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136,Rural,America/Detroit,Building services engineer,5.0,0.0,Highschool,Full Time,33186.785,Separated,Male,Yes,0.4049591685961073,8,0.0,1.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,-0.27098810423245123,0.09423836487681017,-0.3866759492790703,5,5,4,3,5,3,4,1
35,R195593,fd1b0111-3d91-460d-b26b-d52008c383f8,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517,Urban,America/Chicago,Information officer,1.0,0.9444444444444444,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,-1.1031409281962445,15,0.0,0.0,No,One year,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,-0.5959943576606591,1.5551982846168209,-0.584627868341474,6,5,5,5,2,6,5,5
36,I327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103,Suburban,America/Detroit,Outdoor activities/education manager,1.0,-0.05555555555555555,No Diploma,Full Time,8283.29,Never Married,Male,Yes,0.8405688849287628,11,-0.5,1.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,-0.5585617733485279,-0.11651744529323994,-0.5551853059264201,4,2,3,4,3,3,4,3
37,U790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,Marlborough,CT,Hartford,6447,41.63306,-72.45472,6394,Suburban,America/New_York,Market researcher,2.0,-0.7777777777777778,Highschool,Full Time,10114.81,Never Married,Female,Yes,7.787077167575095,16,0.0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-0.5989471446894733,1.4112246574875387,-0.6269541742481306,4,3,5,5,2,4,5,5
38,O739489,1659c53c-7045-445c-a222-08c53851aac1,Lafayette,NJ,Sussex,7848,41.10336,-74.68407,5059,Urban,America/New_York,"Surveyor, insurance",1.0,-0.8055555555555556,Bachelor's Degree,Full Time,33186.785,Never Married,Female,No,-0.4622750446528847,9,0.5,0.0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,-0.5271766534050399,-0.4976797105437919,-0.5250943288354545,5,6,4,2,5,3,3,3
39,I958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,Washington,DC,District of Columbia,20017,38.93845,-76.99317,20450,Suburban,America/New_York,Office manager,1.0,0.3333333333333333,Associate's/Some College,Full Time,25397.44,Divorced,Female,No,1.6873909525696962,12,0.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),-0.4770864418309174,0.253432783916215,-0.5772344608987142,4,4,3,4,2,4,4,5
40,Z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123,Suburban,America/New_York,Editorial assistant,1.0,0.5,Highschool,Full Time,50336.5,Divorced,Male,No,-0.5442052460090475,10,0.0,1.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,-0.36156837427541066,-0.3607961151109866,-0.4816295595900862,3,4,3,6,4,4,6,2
41,X711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,Mantoloking,NJ,Ocean,8738,40.02145,-74.06183,1164,Urban,America/New_York,Customer service manager,3.0,0.16666666666666666,Highschool,Full Time,38211.37,Divorced,Female,No,6.474309895930825,12,0.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,-0.489539681980033,0.4787189823746566,0.31808145511195407,5,2,3,3,3,5,4,4
42,U369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,Sproul,PA,Blair,16682,40.26608,-78.45782,23,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,0.7777777777777778,Associate's/Some College,Retired,52887.26,Married,Male,No,-0.8302128868421561,16,0.5,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,0.5726368933819325,-1.020190781572412,-0.6280329778407088,3,3,2,3,5,4,3,3
43,S896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,Springer,OK,Carter,73458,34.35204,-97.25336,895,Suburban,America/Chicago,Analytical chemist,4.0,-0.3611111111111111,Graduate Degree,Full Time,12003.33,Divorced,Male,Yes,0.22444440816707892,11,0.0,2.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),-0.5875479435259717,1.3376064058137305,-0.5745719816204972,3,3,3,5,1,4,3,4
44,K227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,Homer City,PA,Indiana,15748,40.52449,-79.08432,6699,Suburban,America/New_York,Print production planner,4.0,-0.3611111111111111,Associate's/Some College,Retired,24090.62,Never Married,Male,No,-0.3703349892475733,13,-0.5,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,-0.3146191022733753,0.36434702589529416,-0.3698295058594939,3,3,3,3,4,3,3,4
45,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,America/New_York,Psychiatrist,0.0,-0.4444444444444444,Associate's/Some College,Full Time,33186.785,Never Married,Female,Yes,0.8327390033746953,6,-0.5,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),-0.4966519830869553,1.1714170538801296,-0.5085962831270923,4,4,4,4,3,4,3,4
46,Y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,Sagola,MI,Dickinson,49881,46.07835,-88.03348,320,Urban,America/Menominee,"Conservation officer, nature",2.0,-0.2777777777777778,Highschool,Full Time,33186.785,Divorced,Female,Yes,0.15174874444827804,5,0.0,0.0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,-0.4672063569537574,1.2048493597188634,0.40602948857081084,3,3,2,2,4,3,5,2
47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,1.0,-0.8611111111111112,Associate's/Some College,Retired,132116.33,Divorced,Male,Yes,0.542760680437689,11,0.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),-0.24565906618215536,0.24170657836268755,-0.2852387024981348,4,4,5,2,2,4,3,3
48,E687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,Acme,WA,Whatcom,98220,48.68497,-122.19692,861,Suburban,America/Los_Angeles,Applications developer,1.0,-0.3055555555555556,Highschool,Full Time,37358.13,Never Married,Female,Yes,-0.2002461554651667,11,0.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),-0.4849266415154377,0.3931963933039678,-0.5542711054778986,4,5,3,4,3,3,4,3
49,E492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,Chattanooga,TN,Hamilton,37416,35.10444,-85.17661,15364,Rural,America/New_York,"Librarian, public",1.0,0.8888888888888888,Associate's/Some College,Part Time,26534.16,Separated,Female,No,-0.3703205090034863,11,0.5,2.0,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),-0.516011196039936,-1.0247767978400522,-0.6631594784417879,3,4,3,2,3,3,3,3
50,W255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,Harvey,ND,Wells,58341,47.77527,-99.85,2589,Suburban,America/Chicago,Financial adviser,2.0,0.8333333333333334,Bachelor's Degree,Full Time,33186.785,Married,Female,No,0.49043208285376666,14,-0.5,1.0,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,-0.4449768660677671,-1.2356942266966828,-0.6268669354959817,3,3,4,3,5,3,3,4
51,S72442,6711579b-29d7-460e-bc34-10d4d1110a06,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901,Urban,America/Chicago,"Surveyor, building",2.0,0.4166666666666667,No Diploma,Retired,33186.785,Separated,Female,Yes,-0.15328335325036085,13,1.0,0.0,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),-0.5983724091371062,0.2492644174502874,-0.5973626258590826,2,2,3,4,3,5,2,4
52,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,0.3888888888888889,Graduate Degree,Full Time,43820.85,Divorced,Female,Yes,-0.37355369002389616,12,0.0,0.0,No,Month-to-month,Yes,No,None,No,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-0.5238701048718993,0.2913965661027796,-0.5496060928466616,2,3,3,5,4,2,3,2
53,D805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456,Suburban,America/Chicago,Diagnostic radiographer,1.0,0.1388888888888889,No Diploma,Student,38391.55,Never Married,Female,No,-1.7005993182875005,8,-0.5,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,-0.5584135910697298,-0.34286782443436986,-0.6660630349035568,4,4,4,3,4,2,5,4
54,R189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94,Urban,America/Chicago,"Doctor, general practice",0.0,-0.6388888888888888,Highschool,Full Time,44137.6,Separated,Female,Yes,-0.3828172470222991,6,-0.5,0.0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),-0.6317726141341211,-0.04153610068676496,-0.7291314334205362,4,4,3,4,4,4,2,3
